prepare_img_data : 2020-06-11 15:13:46,607 : INFO : Prediction sequence length: 30, Min. img size: 50x300
prepare_img_data : 2020-06-11 15:13:46,607 : WARNING : Make sure the sequence length fits architecture of model
uiparser : 2020-06-11 15:13:46,949 : DEBUG : uiname is MainWindow
uiparser : 2020-06-11 15:13:46,951 : DEBUG : toplevel widget is MainUI
properties : 2020-06-11 15:13:46,951 : DEBUG : setting property geometry
properties : 2020-06-11 15:13:46,952 : DEBUG : setting property windowTitle
uiparser : 2020-06-11 15:13:46,952 : DEBUG : push MainUI MainWindow
uiparser : 2020-06-11 15:13:46,953 : DEBUG : push QWidget centralwidget
properties : 2020-06-11 15:13:46,954 : DEBUG : setting property geometry
uiparser : 2020-06-11 15:13:46,954 : DEBUG : push QWidget verticalLayoutWidget_2
properties : 2020-06-11 15:13:46,955 : DEBUG : setting property pyuicMargins
uiparser : 2020-06-11 15:13:46,956 : DEBUG : push QVBoxLayout vertical_video_1
properties : 2020-06-11 15:13:46,957 : DEBUG : setting property sizePolicy
properties : 2020-06-11 15:13:46,958 : DEBUG : setting property font
properties : 2020-06-11 15:13:46,960 : DEBUG : setting property text
properties : 2020-06-11 15:13:46,968 : DEBUG : setting property scaledContents
properties : 2020-06-11 15:13:46,969 : DEBUG : setting property alignment
properties : 2020-06-11 15:13:46,969 : DEBUG : setting property wordWrap
uiparser : 2020-06-11 15:13:46,969 : DEBUG : push QLabel text_inputVideo
uiparser : 2020-06-11 15:13:46,970 : DEBUG : pop widget QLabel text_inputVideo
uiparser : 2020-06-11 15:13:46,970 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d6486ee8>
uiparser : 2020-06-11 15:13:46,971 : DEBUG : push QVideoWidget video_inputVideo
uiparser : 2020-06-11 15:13:46,971 : DEBUG : pop widget QVideoWidget video_inputVideo
uiparser : 2020-06-11 15:13:46,971 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d6486ee8>
uiparser : 2020-06-11 15:13:46,971 : DEBUG : pop layout QVBoxLayout vertical_video_1
uiparser : 2020-06-11 15:13:46,971 : DEBUG : pop widget QWidget verticalLayoutWidget_2
uiparser : 2020-06-11 15:13:46,972 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d61e3798>
properties : 2020-06-11 15:13:47,010 : DEBUG : setting property geometry
properties : 2020-06-11 15:13:47,010 : DEBUG : setting property font
properties : 2020-06-11 15:13:47,012 : DEBUG : setting property title
uiparser : 2020-06-11 15:13:47,012 : DEBUG : push QGroupBox groupBoxSelections
properties : 2020-06-11 15:13:47,013 : DEBUG : setting property geometry
uiparser : 2020-06-11 15:13:47,013 : DEBUG : push QWidget gridLayoutWidget
properties : 2020-06-11 15:13:47,013 : DEBUG : setting property sizeConstraint
properties : 2020-06-11 15:13:47,013 : DEBUG : setting property pyuicMargins
uiparser : 2020-06-11 15:13:47,013 : DEBUG : push QGridLayout vertical_selection
properties : 2020-06-11 15:13:47,013 : DEBUG : setting property enabled
properties : 2020-06-11 15:13:47,014 : DEBUG : setting property value
properties : 2020-06-11 15:13:47,014 : DEBUG : setting property textVisible
uiparser : 2020-06-11 15:13:47,014 : DEBUG : push QProgressBar progressBar
uiparser : 2020-06-11 15:13:47,014 : DEBUG : pop widget QProgressBar progressBar
